outcome,months,mdes_relative_reduction
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",6.0,0.2290
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",6.5,0.2164
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",7.0,0.2060
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",7.5,0.1971
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",8.0,0.1894
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",8.5,0.1827
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",9.0,0.1767
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",9.5,0.1715
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",10.0,0.1667
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",10.5,0.1624
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",11.0,0.1586
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",11.5,0.1550
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",12.0,0.1518
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",12.5,0.1488
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",13.0,0.1460
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",13.5,0.1435
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",14.0,0.1411
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",14.5,0.1389
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",15.0,0.1368
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",15.5,0.1348
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",16.0,0.1330
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",16.5,0.1313
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",17.0,0.1296
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",17.5,0.1281
"Sick-visit deaths only (~36 events/cluster/yr), 3-yr proxy baseline",18.0,0.1266
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",6.0,0.2147
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",6.5,0.2030
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",7.0,0.1931
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",7.5,0.1847
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",8.0,0.1775
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",8.5,0.1712
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",9.0,0.1656
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",9.5,0.1607
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",10.0,0.1563
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",10.5,0.1522
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",11.0,0.1486
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",11.5,0.1453
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",12.0,0.1422
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",12.5,0.1394
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",13.0,0.1368
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",13.5,0.1344
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",14.0,0.1322
