design,follow_up_years,mdes_relative_reduction
"A. Parallel CRT, 30 vs 30, no baseline",0.50,0.3141
"A. Parallel CRT, 30 vs 30, no baseline",0.75,0.2761
"A. Parallel CRT, 30 vs 30, no baseline",1.00,0.2543
"A. Parallel CRT, 30 vs 30, no baseline",1.25,0.2401
"A. Parallel CRT, 30 vs 30, no baseline",1.50,0.2300
"A. Parallel CRT, 30 vs 30, no baseline",1.75,0.2224
"A. Parallel CRT, 30 vs 30, no baseline",2.00,0.2166
"A. Parallel CRT, 30 vs 30, no baseline",2.25,0.2119
"A. Parallel CRT, 30 vs 30, no baseline",2.50,0.2080
"A. Parallel CRT, 30 vs 30, no baseline",2.75,0.2048
"A. Parallel CRT, 30 vs 30, no baseline",3.00,0.2021
"A. Parallel CRT, 30 vs 30, no baseline",3.25,0.1998
"A. Parallel CRT, 30 vs 30, no baseline",3.50,0.1977
"A. Parallel CRT, 30 vs 30, no baseline",3.75,0.1960
"A. Parallel CRT, 30 vs 30, no baseline",4.00,0.1944
"A. Parallel CRT, 30 vs 30, no baseline",4.25,0.1930
"A. Parallel CRT, 30 vs 30, no baseline",4.50,0.1917
"A. Parallel CRT, 30 vs 30, no baseline",4.75,0.1906
"A. Parallel CRT, 30 vs 30, no baseline",5.00,0.1896
"B. Parallel CRT, 30 vs 90 controls, no baseline",0.50,0.2475
"B. Parallel CRT, 30 vs 90 controls, no baseline",0.75,0.2181
"B. Parallel CRT, 30 vs 90 controls, no baseline",1.00,0.2012
"B. Parallel CRT, 30 vs 90 controls, no baseline",1.25,0.1901
"B. Parallel CRT, 30 vs 90 controls, no baseline",1.50,0.1822
"B. Parallel CRT, 30 vs 90 controls, no baseline",1.75,0.1763
"B. Parallel CRT, 30 vs 90 controls, no baseline",2.00,0.1717
"B. Parallel CRT, 30 vs 90 controls, no baseline",2.25,0.1680
"B. Parallel CRT, 30 vs 90 controls, no baseline",2.50,0.1650
"B. Parallel CRT, 30 vs 90 controls, no baseline",2.75,0.1625
"B. Parallel CRT, 30 vs 90 controls, no baseline",3.00,0.1603
"B. Parallel CRT, 30 vs 90 controls, no baseline",3.25,0.1585
"B. Parallel CRT, 30 vs 90 controls, no baseline",3.50,0.1569
"B. Parallel CRT, 30 vs 90 controls, no baseline",3.75,0.1555
"B. Parallel CRT, 30 vs 90 controls, no baseline",4.00,0.1542
"B. Parallel CRT, 30 vs 90 controls, no baseline",4.25,0.1531
"B. Parallel CRT, 30 vs 90 controls, no baseline",4.50,0.1522
"B. Parallel CRT, 30 vs 90 controls, no baseline",4.75,0.1513
"B. Parallel CRT, 30 vs 90 controls, no baseline",5.00,0.1505
"C. Parallel CRT, 30 vs 30, adjusted for 3-yr DHIS2 baseline",0.50,0.2907
"C. Parallel CRT, 30 vs 30, adjusted for 3-yr DHIS2 baseline",0.75,0.2477
