design,follow_up_years,true_relative_reduction,power
"A. 30 vs 30, no baseline",1,0.1,0.172
"A. 30 vs 30, no baseline",1,0.15,0.348
"A. 30 vs 30, no baseline",1,0.2,0.574
"A. 30 vs 30, no baseline",1,0.25,0.785
"A. 30 vs 30, no baseline",1,0.3,0.921
"A. 30 vs 30, no baseline",2,0.1,0.227
"A. 30 vs 30, no baseline",2,0.15,0.465
"A. 30 vs 30, no baseline",2,0.2,0.728
"A. 30 vs 30, no baseline",2,0.25,0.908
"A. 30 vs 30, no baseline",2,0.3,0.981
"A. 30 vs 30, no baseline",3,0.1,0.256
"A. 30 vs 30, no baseline",3,0.15,0.524
"A. 30 vs 30, no baseline",3,0.2,0.791
"A. 30 vs 30, no baseline",3,0.25,0.944
"A. 30 vs 30, no baseline",3,0.3,0.992
"A. 30 vs 30, no baseline",4,0.1,0.275
"A. 30 vs 30, no baseline",4,0.15,0.559
"A. 30 vs 30, no baseline",4,0.2,0.824
"A. 30 vs 30, no baseline",4,0.25,0.960
"A. 30 vs 30, no baseline",4,0.3,0.995
"A. 30 vs 30, no baseline",5,0.1,0.287
"A. 30 vs 30, no baseline",5,0.15,0.582
"A. 30 vs 30, no baseline",5,0.2,0.844
"A. 30 vs 30, no baseline",5,0.25,0.968
"A. 30 vs 30, no baseline",5,0.3,0.997
"B. 30 vs 90, no baseline",1,0.1,0.254
"B. 30 vs 90, no baseline",1,0.15,0.522
"B. 30 vs 90, no baseline",1,0.2,0.795
"B. 30 vs 90, no baseline",1,0.25,0.950
"B. 30 vs 90, no baseline",1,0.3,0.994
"B. 30 vs 90, no baseline",2,0.1,0.339
"B. 30 vs 90, no baseline",2,0.15,0.673
"B. 30 vs 90, no baseline",2,0.2,0.915
"B. 30 vs 90, no baseline",2,0.25,0.991
"B. 30 vs 90, no baseline",2,0.3,1.000
"B. 30 vs 90, no baseline",3,0.1,0.385
"B. 30 vs 90, no baseline",3,0.15,0.739
"B. 30 vs 90, no baseline",3,0.2,0.950
"B. 30 vs 90, no baseline",3,0.25,0.997
"B. 30 vs 90, no baseline",3,0.3,1.000
"B. 30 vs 90, no baseline",4,0.1,0.413
"B. 30 vs 90, no baseline",4,0.15,0.775
"B. 30 vs 90, no baseline",4,0.2,0.964
"B. 30 vs 90, no baseline",4,0.25,0.998
"B. 30 vs 90, no baseline",4,0.3,1.000
"B. 30 vs 90, no baseline",5,0.1,0.431
"B. 30 vs 90, no baseline",5,0.15,0.797
"B. 30 vs 90, no baseline",5,0.2,0.972
"B. 30 vs 90, no baseline",5,0.25,0.999
"B. 30 vs 90, no baseline",5,0.3,1.000
"C. 30 vs 30, 3-yr baseline",1,0.1,0.219
"C. 30 vs 30, 3-yr baseline",1,0.15,0.448
"C. 30 vs 30, 3-yr baseline",1,0.2,0.704
"C. 30 vs 30, 3-yr baseline",1,0.25,0.891
"C. 30 vs 30, 3-yr baseline",1,0.3,0.974
"C. 30 vs 30, 3-yr baseline",2,0.1,0.335
"C. 30 vs 30, 3-yr baseline",2,0.15,0.657
"C. 30 vs 30, 3-yr baseline",2,0.2,0.898
"C. 30 vs 30, 3-yr baseline",2,0.25,0.985
"C. 30 vs 30, 3-yr baseline",2,0.3,0.999
"C. 30 vs 30, 3-yr baseline",3,0.1,0.412
"C. 30 vs 30, 3-yr baseline",3,0.15,0.765
"C. 30 vs 30, 3-yr baseline",3,0.2,0.956
"C. 30 vs 30, 3-yr baseline",3,0.25,0.997
"C. 30 vs 30, 3-yr baseline",3,0.3,1.000
"C. 30 vs 30, 3-yr baseline",4,0.1,0.467
"C. 30 vs 30, 3-yr baseline",4,0.15,0.825
"C. 30 vs 30, 3-yr baseline",4,0.2,0.977
"C. 30 vs 30, 3-yr baseline",4,0.25,0.999
"C. 30 vs 30, 3-yr baseline",4,0.3,1.000
"C. 30 vs 30, 3-yr baseline",5,0.1,0.507
"C. 30 vs 30, 3-yr baseline",5,0.15,0.862
"C. 30 vs 30, 3-yr baseline",5,0.2,0.986
"C. 30 vs 30, 3-yr baseline",5,0.25,1.000
"C. 30 vs 30, 3-yr baseline",5,0.3,1.000
"D. 30 vs 90, 3-yr baseline",1,0.1,0.326
"D. 30 vs 90, 3-yr baseline",1,0.15,0.647
"D. 30 vs 90, 3-yr baseline",1,0.2,0.896
"D. 30 vs 90, 3-yr baseline",1,0.25,0.986
"D. 30 vs 90, 3-yr baseline",1,0.3,0.999
"D. 30 vs 90, 3-yr baseline",2,0.1,0.495
"D. 30 vs 90, 3-yr baseline",2,0.15,0.856
"D. 30 vs 90, 3-yr baseline",2,0.2,0.986
"D. 30 vs 90, 3-yr baseline",2,0.25,1.000
"D. 30 vs 90, 3-yr baseline",2,0.3,1.000
"D. 30 vs 90, 3-yr baseline",3,0.1,0.597
"D. 30 vs 90, 3-yr baseline",3,0.15,0.929
"D. 30 vs 90, 3-yr baseline",3,0.2,0.997
"D. 30 vs 90, 3-yr baseline",3,0.25,1.000
"D. 30 vs 90, 3-yr baseline",3,0.3,1.000
"D. 30 vs 90, 3-yr baseline",4,0.1,0.663
"D. 30 vs 90, 3-yr baseline",4,0.15,0.959
"D. 30 vs 90, 3-yr baseline",4,0.2,0.999
"D. 30 vs 90, 3-yr baseline",4,0.25,1.000
"D. 30 vs 90, 3-yr baseline",4,0.3,1.000
"D. 30 vs 90, 3-yr baseline",5,0.1,0.708
"D. 30 vs 90, 3-yr baseline",5,0.15,0.974
"D. 30 vs 90, 3-yr baseline",5,0.2,1.000
"D. 30 vs 90, 3-yr baseline",5,0.25,1.000
"D. 30 vs 90, 3-yr baseline",5,0.3,1.000
"E. Stepped wedge 30, 5 steps",1,0.1,0.082
"E. Stepped wedge 30, 5 steps",1,0.15,0.142
"E. Stepped wedge 30, 5 steps",1,0.2,0.236
"E. Stepped wedge 30, 5 steps",1,0.25,0.362
"E. Stepped wedge 30, 5 steps",1,0.3,0.511
"E. Stepped wedge 30, 5 steps",2,0.1,0.119
"E. Stepped wedge 30, 5 steps",2,0.15,0.234
