design_or_outcome,months,mdes_relative_reduction
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",6.0,0.3141
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",6.5,0.3059
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",7.0,0.2986
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",7.5,0.2921
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",8.0,0.2862
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",8.5,0.2809
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",9.0,0.2761
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",9.5,0.2717
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",10.0,0.2676
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",10.5,0.2639
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",11.0,0.2605
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",11.5,0.2573
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",12.0,0.2543
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",12.5,0.2516
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",13.0,0.2490
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",13.5,0.2465
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",14.0,0.2443
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",14.5,0.2421
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",15.0,0.2401
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",15.5,0.2382
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",16.0,0.2364
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",16.5,0.2346
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",17.0,0.2330
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",17.5,0.2315
"0. Starting point: 30 vs 30, 250 births/facility, no baseline",18.0,0.2300
1. + 90 control facilities,6.0,0.2475
1. + 90 control facilities,6.5,0.2411
1. + 90 control facilities,7.0,0.2355
1. + 90 control facilities,7.5,0.2305
1. + 90 control facilities,8.0,0.2259
1. + 90 control facilities,8.5,0.2218
1. + 90 control facilities,9.0,0.2181
1. + 90 control facilities,9.5,0.2147
1. + 90 control facilities,10.0,0.2115
1. + 90 control facilities,10.5,0.2086
1. + 90 control facilities,11.0,0.2060
1. + 90 control facilities,11.5,0.2035
1. + 90 control facilities,12.0,0.2012
1. + 90 control facilities,12.5,0.1990
1. + 90 control facilities,13.0,0.1970
1. + 90 control facilities,13.5,0.1951
1. + 90 control facilities,14.0,0.1933
1. + 90 control facilities,14.5,0.1916
1. + 90 control facilities,15.0,0.1901
1. + 90 control facilities,15.5,0.1886
1. + 90 control facilities,16.0,0.1872
1. + 90 control facilities,16.5,0.1858
1. + 90 control facilities,17.0,0.1845
1. + 90 control facilities,17.5,0.1833
1. + 90 control facilities,18.0,0.1822
2. + adjust for 3-yr DHIS2 baseline,6.0,0.2301
2. + adjust for 3-yr DHIS2 baseline,6.5,0.2229
2. + adjust for 3-yr DHIS2 baseline,7.0,0.2166
2. + adjust for 3-yr DHIS2 baseline,7.5,0.2108
2. + adjust for 3-yr DHIS2 baseline,8.0,0.2057
2. + adjust for 3-yr DHIS2 baseline,8.5,0.2009
2. + adjust for 3-yr DHIS2 baseline,9.0,0.1966
2. + adjust for 3-yr DHIS2 baseline,9.5,0.1926
2. + adjust for 3-yr DHIS2 baseline,10.0,0.1890
